FID,anzahl_stellplaetze,zusatzbeleuchtung,bike_and_ride,doppelstock,status,geplant,lastenrad,standort,standortnummer,typ_generalisiert,ueberdacht,zeitl_begrenzung,status_bedeutung,shape
opendata_ruhver_fahrradparken_line.1,50,Nein,Ja,Nein,2,,Nein,Landsberger Str. 114,165,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688559.9030007732 5335226.011998156, 688557.7880007729 5335195.612998156))"
opendata_ruhver_fahrradparken_line.2,8,Nein,Ja,Nein,2,,Nein,Schleißheimer Str. 501,166,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690322.5640008082 5343193.413998035, 690323.034000808 5343189.717998036))"
opendata_ruhver_fahrradparken_line.3,12,Nein,Ja,Nein,2,,Nein,Schleißheimer Str. 501,167,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690323.6230008081 5343184.657998036, 690324.3440008082 5343179.538998035))"
opendata_ruhver_fahrradparken_line.4,10,Nein,Ja,Nein,2,,Nein,Schleißheimer Str. 501,168,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690324.9100008081 5343175.064998036, 690325.6230008082 5343170.139998036))"
opendata_ruhver_fahrradparken_line.5,22,Nein,Ja,Nein,2,,Nein,Schleißheimer Str. 487,169,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690316.5400008078 5343142.4129980365, 690314.9610008079 5343154.472998036))"
opendata_ruhver_fahrradparken_line.6,10,Nein,Ja,Nein,2,,Nein,Schleißheimer Str. 487,170,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690332.4310008083 5343109.022998036, 690337.0670008084 5343109.611998036))"
opendata_ruhver_fahrradparken_line.7,10,Nein,Ja,Nein,2,,Nein,Schleißheimer Str. 487,171,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690333.0330008083 5343105.057998035, 690337.4830008084 5343105.640998035))"
opendata_ruhver_fahrradparken_line.8,10,Nein,Ja,Nein,2,,Nein,Schleißheimer Str. 487,172,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690333.6100008081 5343100.794998035, 690338.1310008086 5343101.454998037))"
opendata_ruhver_fahrradparken_line.9,19,Nein,Ja,Nein,2,,Nein,Knorrstr. 150,52,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691125.1740008255 5341182.18099799, 691126.1710008255 5341170.238997988))"
opendata_ruhver_fahrradparken_line.10,108,Ja,Ja,Nein,2,,Nein,Colmdorfstr. 34,74,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((679496.9580006043 5336461.015998595, 679515.8340006045 5336458.8349985955))"
opendata_ruhver_fahrradparken_line.11,56,Ja,Ja,Ja,2,,Nein,Colmdorfstr. 32,75,Doppelstockabstellanlage,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((679499.0120006041 5336417.548998596, 679503.6420006043 5336424.294998596, 679514.0930006045 5336423.104998596))"
opendata_ruhver_fahrradparken_line.12,10,Nein,Nein,Nein,2,,Nein,Brienner Str. 49,76,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690506.7910008135 5335779.593998036, 690508.2790008136 5335783.3059980385))"
opendata_ruhver_fahrradparken_line.13,8,Nein,Nein,Nein,2,,Nein,Augustenstr. 59,79,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690630.8800008161 5336087.494998029, 690632.8650008162 5336092.43199803))"
opendata_ruhver_fahrradparken_line.14,7,Nein,Nein,Nein,2,,Nein,Zieblandstr. 22,80,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690859.3460008207 5336595.316998015, 690860.682000821 5336599.040998015))"
opendata_ruhver_fahrradparken_line.15,3,Nein,Ja,Nein,2,,Nein,Augustenstr. 105,81,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690793.7310008195 5336500.669998019, 690795.1730008195 5336499.981998019))"
opendata_ruhver_fahrradparken_line.16,8,Nein,Ja,Nein,2,,Nein,Autharipl. 9,86,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690844.381000822 5329708.413998029, 690848.213000822 5329707.468998029))"
opendata_ruhver_fahrradparken_line.17,12,Nein,Ja,Nein,2,,Nein,Autharipl. 13,87,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690815.8750008213 5329674.70399803, 690819.7970008214 5329679.359998031))"
opendata_ruhver_fahrradparken_line.18,16,Nein,Nein,Nein,2,,Nein,Am Stadtpark 20,88,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((682401.762000655 5334994.535998474, 682390.7060006548 5334996.183998473))"
opendata_ruhver_fahrradparken_line.19,12,Nein,Ja,Nein,2,,Nein,Planegger Str. 47 e,91,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((682765.8610006616 5334830.581998455, 682770.564000662 5334825.412998455))"
opendata_ruhver_fahrradparken_line.20,24,Nein,Nein,Nein,2,,Nein,Blumenstr. 28 b,94,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691294.0410008306 5334193.015997993, 691303.9120008309 5334202.292997991))"
opendata_ruhver_fahrradparken_line.21,4,Nein,Nein,Nein,4,,Nein,Blutenburgstr. 17,98,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((689256.0440007872 5335989.523998115, 689253.7720007872 5335990.084998114))"
opendata_ruhver_fahrradparken_line.22,36,Nein,Ja,Nein,2,,Nein,Aidenbachstr. 31,6,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((687909.8850007608 5330283.216998201, 687909.6680007607 5330274.200998201))"
opendata_ruhver_fahrradparken_line.23,36,Nein,Ja,Nein,2,,Nein,Aidenbachstr. 31,7,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((687908.7950007608 5330244.432998201, 687908.5160007608 5330235.4909982))"
opendata_ruhver_fahrradparken_line.24,36,Nein,Ja,Nein,2,,Nein,Gmunder Str. 40,8,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((687908.4030007608 5330231.230998199, 687908.1950007607 5330222.221998202))"
opendata_ruhver_fahrradparken_line.25,12,Nein,Ja,Nein,2,,Nein,Balanstr. 166,15,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((693818.9250008871 5331595.287997829, 693818.0290008871 5331601.119997829))"
opendata_ruhver_fahrradparken_line.26,18,Nein,Ja,Nein,2,,Nein,Basler Str. 70,20,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((685432.3480007122 5329371.783998334, 685439.5800007124 5329366.359998336))"
opendata_ruhver_fahrradparken_line.27,18,Nein,Ja,Nein,2,,Nein,Hans-Fitz-Weg 16,21,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((685420.557000712 5329356.224998335, 685428.0980007121 5329350.719998335))"
opendata_ruhver_fahrradparken_line.28,80,Nein,Nein,Nein,2,,Nein,Ludwigstr. 23,22,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691926.786000844 5335984.505997948, 691914.0910008438 5335938.498997947))"
opendata_ruhver_fahrradparken_line.29,80,Nein,Nein,Nein,2,,Nein,Ludwigstr. 16,23,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691887.8560008432 5335844.405997951, 691900.7040008435 5335890.41699795))"
opendata_ruhver_fahrradparken_line.30,20,Nein,Ja,Nein,2,,Nein,Ungererstr. 187,28,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((693523.9200008785 5339523.185997833, 693517.1610008783 5339513.501997833))"
opendata_ruhver_fahrradparken_line.31,8,Nein,Ja,Nein,2,,Nein,Ungererstr. 187,29,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((693503.236000878 5339490.841997833, 693508.0970008782 5339487.754997834))"
opendata_ruhver_fahrradparken_line.32,8,Nein,Ja,Nein,2,,Nein,Ungererstr. 187,30,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((693500.773000878 5339486.474997834, 693505.4520008783 5339483.555997833))"
opendata_ruhver_fahrradparken_line.33,12,Nein,Ja,Nein,2,,Nein,Stabelerstr. 2,173,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690336.6010008084 5343074.805998035, 690342.2780008086 5343075.312998034))"
opendata_ruhver_fahrradparken_line.34,10,Nein,Ja,Nein,2,,Nein,Stabelerstr. 2,174,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690339.0980008084 5343069.206998036, 690343.1240008085 5343069.705998034))"
opendata_ruhver_fahrradparken_line.35,6,Nein,Ja,Nein,2,,Nein,Stabelerstr. 2,175,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690339.5300008084 5343065.463998035, 690343.7280008085 5343065.912998035))"
