FID,objectid,objekt,bezeichnung,bemerkung,shape
opendata_trinkwasserbrunnen.1,297,Trinkbrunnen,Bertschbrunnen,,POINT (693160.8497008716 5334127.190397869)
opendata_trinkwasserbrunnen.2,298,Trinkbrunnen,Bertschbrunnen,,POINT (688259.9238007668 5336793.02129817)
opendata_trinkwasserbrunnen.3,299,Trinkbrunnen,Gänsebrunnen,,POINT (687988.6302007613 5336372.788798186)
opendata_trinkwasserbrunnen.4,300,Trinkbrunnen,Vasenbrunnen,,POINT (690953.6683008221 5339563.139498003)
opendata_trinkwasserbrunnen.5,307,Trinkbrunnen,Holztrogbrunnen,,POINT (689739.0887007987 5329669.487098097)
opendata_trinkwasserbrunnen.6,6,Trinkbrunnen,Bezoldbrunnen,,POINT (690722.8845008184 5334269.489898027)
opendata_trinkwasserbrunnen.7,7,Trinkbrunnen,Bertschbrunnen,,POINT (690889.9706008211 5338258.777098008)
opendata_trinkwasserbrunnen.8,8,Trinkbrunnen,Brunnengrotte,,POINT (691681.664900838 5338453.873497958)
opendata_trinkwasserbrunnen.9,9,Trinkbrunnen,Auiabrunnen,,POINT (692425.2668008554 5333845.795897918)
opendata_trinkwasserbrunnen.10,10,Trinkbrunnen,Trinkbrunnen,,POINT (693290.3401008745 5334610.93539786)
opendata_trinkwasserbrunnen.11,11,Trinkbrunnen,Bertschbrunnen,,POINT (690327.7343008106 5331603.395698058)
opendata_trinkwasserbrunnen.12,12,Trinkbrunnen,Grotte mit Steinbecken,,POINT (691799.952500842 5332421.4641979635)
opendata_trinkwasserbrunnen.13,78,Trinkbrunnen,Rotkäppchen und der Wolf,Winterabdeckung,POINT (692003.8060008461 5334905.750797944)
opendata_trinkwasserbrunnen.14,85,Trinkbrunnen,Bertschbrunnen,,POINT (692019.6616008466 5333027.353797947)
opendata_trinkwasserbrunnen.15,86,Trinkbrunnen,Knabe auf Waller Brunnen,,POINT (687533.5284007522 5336182.512498212)
opendata_trinkwasserbrunnen.16,87,Trinkbrunnen,Wandbrunnen,,POINT (692299.7440008528 5332771.01039793)
opendata_trinkwasserbrunnen.17,88,Trinkbrunnen,Holztränke,"Forstenrieder Park, Karolinen geräumt",POINT (684719.1457006987 5328090.924298372)
opendata_trinkwasserbrunnen.18,152,Trinkbrunnen,Rednerpulte,,POINT (691929.8246008435 5339257.972397939)
opendata_trinkwasserbrunnen.19,153,Trinkbrunnen,Kindlbrunnen mit Hund,,POINT (691867.4637008425 5337121.077597949)
opendata_trinkwasserbrunnen.20,154,Trinkbrunnen,Bertschbrunnen,,POINT (695804.8357009324 5333999.92179768)
opendata_trinkwasserbrunnen.21,155,Trinkbrunnen,Kennedybrunnen,,POINT (694607.9238009049 5332299.55759777)
opendata_trinkwasserbrunnen.22,156,Trinkbrunnen,Bertschbrunnen,,POINT (692610.8849008597 5332530.2015979085)
opendata_trinkwasserbrunnen.23,157,Trinkbrunnen,St.-Martin-Brunnen,,POINT (689390.8344007917 5327844.8635981195)
opendata_trinkwasserbrunnen.24,158,Trinkbrunnen,Holztrogbrunnen,liegt im Perlacher Forst,POINT (691711.9170008408 5329445.171497974)
opendata_trinkwasserbrunnen.25,159,Trinkbrunnen,kein Name ,,POINT (687156.0489007463 5327561.329298246)
