FID,standort,ortsangabe,luftpumpe,servicestation,mp_id,bemerkung,shape
ruhver_radservicestation_point.1,Mariahilfplatz,Am Nordeingang zum Landratsamt,Ja,Ja,,Betrieb durch Landratsamt München,POINT (692201.0000008504 5333350.999997933)
ruhver_radservicestation_point.2,Nachbarschaftsstation STEINI,Grünanlage Karl-Marx-Ring Ecke Peschelanger,Ja,Ja,,im Rahmen des EU-Projekts „Creating NEBourhoods Together“,POINT (697752.3434009795 5331833.126397534)
ruhver_radservicestation_point.3,Nachbarschaftsstation RESI,an der Quiddestraße unter der Jakobusbrücke,Ja,Ja,,im Rahmen des EU-Projekts „Creating NEBourhoods Together“,POINT (696343.5206009457 5331768.248897645)
ruhver_radservicestation_point.4,Gasteig HP8,Fahrradständer vor dem Eingang zur Halle E,Ja,Ja,,Betrieb durch Gasteig München GmbH,POINT (690088.9950008055 5331910.088498071)
ruhver_radservicestation_point.5,Berg am Laim,Überdachte Radabstellanlagen am S-Bahnhof (Südseite),Ja,Nein,,Betreiber: P+R Park & Ride GmbH,POINT (695919.0000009348 5334522.999997671)
ruhver_radservicestation_point.6,Mariannenbrücke,auf der Aufpflasterung,Ja,Ja,,Betreiber: P+R Park & Ride GmbH,POINT (692558.0000008581 5334580.999997909)
ruhver_radservicestation_point.7,Kieferngarten,Überdachte Radabstellanlagen am U-Bahnhof,Ja,Nein,,Betreiber: P+R Park & Ride GmbH,POINT (694125.0000008915 5342201.999997783)
ruhver_radservicestation_point.8,Giesing (S & U),"Überdachte Radabstellanlagen am S+U-Bahnhof (Ostseite, Ungsteiner Str.) neben der Litfaß-Säule",Ja,Nein,,Betreiber: P+R Park & Ride GmbH,POINT (693295.0000008751 5331943.9999978645)
ruhver_radservicestation_point.9,Münchner Freiheit,Mobilitätspunkt in der Leopoldstraße,Ja,Nein,62,Betreiber: P+R Park & Ride GmbH,POINT (692329.1130008524 5337633.413997918)
ruhver_radservicestation_point.10,Domagkpark,Mobilitätspunkt in der Gertrud-Grunow-Straße,Ja,Nein,32,Betreiber: P+R Park & Ride GmbH,POINT (692991.7025008665 5339986.818997868)
ruhver_radservicestation_point.11,Universität,am Eingang zur Universitätsbibliothek (Ludwigstraße 27),Ja,Nein,,Betreiber: P+R Park & Ride GmbH,POINT (691941.0000008442 5336148.999997946)
ruhver_radservicestation_point.12,Memminger Platz / Moosach Bf,Überdachte Radabstellanlagen am S+U-Bahnhof (Westseite),Ja,Ja,,Betreiber: P+R Park & Ride GmbH,POINT (686280.000000727 5339413.999998274)
ruhver_radservicestation_point.13,Goetheplatz,Mobilitätspunkt in der Häberlstraße,Ja,Nein,64,Betreiber: P+R Park & Ride GmbH,POINT (690356.1254008107 5333809.862098052)
ruhver_radservicestation_point.14,Parkstadt Schwabing,Mobilitätspunkt an der Anni-Albers-Straße,Ja,Nein,30,Betreiber: P+R Park & Ride GmbH,POINT (692443.4207008544 5339506.131797906)
ruhver_radservicestation_point.15,Pasing Nord,"Überdachte Radabstellanlage am S-Bahnhof (Nordseite, Helihofweg)",Ja,Nein,,Betreiber: P+R Park & Ride GmbH,POINT (683048.0000006666 5335994.999998442)
